time,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
2019-11-16 23:00:00+00:00,0.0,0.0,7.94,5.78,0.21,0.58,1015.3,3.43,8.14,258,0.01,0,16.093,364.5
2019-11-17 00:00:00+00:00,0.0062,0.01,7.65,4.96,1.18,0.64,1015.1,4.32,8.67,250,0.03,0,16.093,358.9
2019-11-17 01:00:00+00:00,0.0,0.0,7.78,5.11,1.3,0.64,1015.1,4.33,9.99,254,0.04,0,16.093,357.0
2019-11-17 02:00:00+00:00,0.0,0.0,7.4,4.7,1.32,0.65,1014.4,4.2,11.71,249,0.05,0,16.093,356.8
2019-11-17 03:00:00+00:00,0.0,0.0,6.86,4.08,1.17,0.67,1014.3,4.11,12.8,255,0.05,0,16.093,356.0
2019-11-17 04:00:00+00:00,0.0,0.0,6.27,3.37,0.7,0.68,1014.9,4.09,12.64,254,0.05,0,16.093,353.4
2019-11-17 05:00:00+00:00,0.0,0.0,6.18,3.25,0.05,0.65,1014.7,4.11,11.86,274,0.04,0,16.093,350.2
2019-11-17 06:00:00+00:00,0.0072,0.01,6.38,3.34,-0.04,0.64,1015.0,4.4,12.15,251,0.03,0,16.093,348.0
2019-11-17 07:00:00+00:00,0.0051,0.01,7.41,4.39,0.41,0.61,1015.1,4.93,12.18,160,0.03,0,16.093,347.5
2019-11-17 08:00:00+00:00,0.0,0.0,8.87,5.94,1.08,0.58,1015.4,5.61,12.3,359,0.03,0,16.093,347.9
2019-11-17 09:00:00+00:00,0.0,0.0,10.39,10.39,1.55,0.54,1014.7,6.15,12.27,277,0.04,1,16.093,347.9
2019-11-17 10:00:00+00:00,0.0,0.0,12.01,12.01,1.85,0.5,1014.3,6.43,11.78,272,0.06,2,16.093,346.9
2019-11-17 11:00:00+00:00,0.0,0.0,13.7,13.7,2.15,0.46,1013.6,6.58,11.12,271,0.11,2,16.093,345.5
2019-11-17 12:00:00+00:00,0.0,0.0,15.45,15.45,2.96,0.43,1012.9,6.03,10.05,274,0.22,2,16.093,350.9
2019-11-17 13:00:00+00:00,0.0,0.0,16.81,16.81,4.15,0.43,1012.2,6.52,10.77,312,0.28,2,16.093,349.7
2019-11-17 14:00:00+00:00,0.0,0.0,17.6,17.6,5.28,0.44,1011.5,7.07,12.06,220,0.34,1,16.093,347.5
2019-11-17 15:00:00+00:00,0.0,0.0,16.08,16.08,5.2,0.48,1011.0,7.06,12.89,269,0.41,1,16.093,346.1
2019-11-17 16:00:00+00:00,0.0,0.0,15.48,15.48,5.28,0.51,1010.9,6.22,12.76,314,0.5,0,16.093,346.4
2019-11-17 17:00:00+00:00,0.0,0.0,14.35,14.35,5.25,0.54,1011.2,4.99,12.15,218,0.6,0,16.093,347.5
2019-11-17 18:00:00+00:00,0.0,0.0,13.45,13.45,5.7,0.59,1011.1,4.14,11.64,250,0.67,0,16.093,348.5
2019-11-17 19:00:00+00:00,0.0,0.0,13.24,13.24,6.63,0.64,1010.5,4.06,11.3,255,0.67,0,16.093,348.4
2019-11-17 20:00:00+00:00,0.0,0.0,13.38,13.38,7.33,0.67,1010.5,4.1,10.82,250,0.64,0,16.093,348.4
2019-11-17 21:00:00+00:00,0.0,0.0,13.31,13.31,8.13,0.71,1010.1,4.05,10.22,243,0.64,0,16.093,348.9
2019-11-17 22:00:00+00:00,0.2414,0.28,12.68,12.68,9.16,0.79,1010.0,3.75,9.31,236,0.68,0,16.093,349.9
2019-11-17 23:00:00+00:00,1.2735,0.66,11.86,11.86,7.48,0.75,1009.7,3.38,8.26,227,0.75,0,16.093,351.5
2019-11-18 00:00:00+00:00,2.1518,0.78,11.14,11.14,7.6,0.79,1009.3,3.1,7.57,221,0.82,0,16.093,353.5
2019-11-18 01:00:00+00:00,1.3869,0.65,10.82,10.82,7.1,0.78,1009.2,2.55,11.22,223,0.89,0,16.093,358.5
2019-11-18 02:00:00+00:00,0.3757,0.35,10.76,10.76,6.85,0.77,1008.7,2.68,10.1,269,0.95,0,16.093,362.3
2019-11-18 03:00:00+00:00,0.0755,0.12,10.49,10.49,6.32,0.75,1008.4,2.68,8.7,250,1.0,0,16.093,365.9
2019-11-18 04:00:00+00:00,0.031,0.08,9.86,8.7,5.93,0.76,1008.4,2.44,6.78,161,1.0,0,16.093,369.4
2019-11-18 05:00:00+00:00,0.0104,0.06,9.22,8.15,5.52,0.78,1008.6,2.17,4.56,7,1.0,0,16.093,372.9
2019-11-18 06:00:00+00:00,0.0,0.0,8.83,7.78,5.06,0.77,1008.7,2.05,2.9,285,1.0,0,16.093,375.3
2019-11-18 07:00:00+00:00,0.0,0.0,9.16,8.26,5.0,0.75,1009.4,1.95,2.26,252,0.71,0,16.093,375.3
2019-11-18 08:00:00+00:00,0.0,0.0,9.91,9.18,4.92,0.71,1010.0,1.89,2.16,311,0.32,0,16.093,374.1
2019-11-18 09:00:00+00:00,0.0,0.0,10.94,10.94,4.59,0.65,1010.5,1.9,2.15,296,0.03,1,16.093,373.2
2019-11-18 10:00:00+00:00,0.0,0.0,12.33,12.33,4.25,0.58,1010.9,2.09,2.65,295,0.01,1,16.093,373.6
2019-11-18 11:00:00+00:00,0.0,0.0,13.83,13.83,4.31,0.53,1011.4,2.47,3.75,308,0.01,2,16.093,374.5
2019-11-18 12:00:00+00:00,0.0,0.0,15.25,15.25,4.78,0.5,1011.5,2.93,4.83,323,0.02,2,16.093,374.7
2019-11-18 13:00:00+00:00,0.0,0.0,16.09,16.09,4.55,0.46,1011.7,3.57,6.05,334,0.08,2,16.093,373.3
2019-11-18 14:00:00+00:00,0.0,0.0,14.9,14.9,3.15,0.45,1011.4,4.23,7.23,344,0.17,1,16.093,371.4
2019-11-18 15:00:00+00:00,0.0,0.0,14.71,14.71,2.11,0.43,1011.6,4.41,7.57,349,0.23,0,16.093,370.9
2019-11-18 16:00:00+00:00,0.0,0.0,13.51,13.51,1.01,0.43,1012.3,3.66,6.33,330,0.25,0,16.093,374.0
2019-11-18 17:00:00+00:00,0.0,0.0,11.54,11.54,0.04,0.45,1013.4,2.57,4.22,303,0.25,0,16.093,378.6
2019-11-18 18:00:00+00:00,0.0,0.0,9.75,9.0,-0.36,0.49,1013.9,1.88,2.72,311,0.22,0,16.093,380.0
2019-11-18 19:00:00+00:00,0.0,0.0,8.63,7.76,-0.44,0.53,1014.6,1.81,2.55,27,0.16,0,16.093,375.5
2019-11-18 20:00:00+00:00,0.0,0.0,7.9,6.72,-0.62,0.55,1015.5,2.03,2.97,173,0.07,0,16.093,367.6
2019-11-18 21:00:00+00:00,0.0051,0.01,7.26,5.81,-0.66,0.57,1015.9,2.21,3.32,254,0.0,0,16.093,360.0
2019-11-18 22:00:00+00:00,0.0051,0.01,6.64,5.06,-0.51,0.6,1016.2,2.24,3.32,267,0.0,0,16.093,353.2
